uid,slope_i,slope_se,slope_p,n_occasions,lag0_sign,lag1_sign,bh_q_213,holm_p_213,std_effect,label_family1,label_bh,label_holm,user_facing_bh
003df5deff30e1e5a07b5d063fe85c3f,-0.1743389258451815,0.15771624950438726,0.2689879964080877,97,-1.0,-1.0,0.4867868468239777,1.0,0.06435663212397222,insufficient,insufficient,insufficient,no_claim
0107c61e54459068bb83f6be2058d65d,0.11208304734937491,0.16082602442017654,0.4858521819203374,84,-1.0,-1.0,0.6771271998347597,1.0,0.041375082533221,insufficient,insufficient,insufficient,no_claim
01fb41df0f6c2f69d65db5a38c600b4c,-0.10675661640910517,0.3598913674528185,0.7667446762637522,6,-1.0,-1.0,0.8627599349567129,1.0,0.03940884834372569,insufficient,insufficient,insufficient,no_claim
031cf9537e5da78c5a69a10cba088c94,-0.22627567586821434,0.23364526157392673,0.3328155714888532,67,-1.0,-1.0,0.5411428757795858,1.0,0.08352890990842554,insufficient,insufficient,insufficient,no_claim
03a0ce5623bfeb8aa3113605f7682215,-0.2818300898873603,0.13786246981058212,0.04092546409996567,168,-1.0,-1.0,0.1103433399150973,1.0,0.10403663627280614,moderate,insufficient,insufficient,no_claim
07eab8e219b6a4dcd45167dc216e1189,-0.16424616988343965,0.3606465414733831,0.6488060684453576,9,-1.0,-1.0,0.794228118269317,1.0,0.060630924973959964,insufficient,insufficient,insufficient,no_claim
0947cdc8e87a0a45a012aa387ccedbcd,-0.08553810588349176,0.22327822014324328,0.7016448899268601,69,-1.0,-1.0,0.8211558327166001,1.0,0.03157610606029446,insufficient,insufficient,insufficient,no_claim
0ab7acb36e6c710a7733c1c24e566bb3,0.03309925981030937,0.16937553639254443,0.8450646575822249,101,-1.0,-1.0,0.9045164425377583,1.0,0.012218481196101352,insufficient,insufficient,insufficient,no_claim
0aee9faa6f2d2d24d85d2690f5b2df25,0.046439072809917215,0.19731513518627816,0.8139333311886738,75,-1.0,-1.0,0.89827875410978,1.0,0.01714282860535822,insufficient,insufficient,insufficient,no_claim
0b9c2303bcc61063f9a5653d77c90501,-0.6089356966303698,0.2450540592145216,0.012958654652109436,63,-1.0,-1.0,0.04312802251405171,1.0,0.22478657835712823,moderate,moderate,insufficient,evidence_available
0ba15aa0582c5e825710d42fe3eb231d,-0.6171372883506785,0.15458475546113595,6.54559296919821e-05,192,-1.0,-1.0,0.0005362351163227765,0.012305714782092636,0.22781416854455228,strong,strong,moderate,evidence_available
0f2be96bde481cd3898f147a995a7d56,0.04811930071031356,0.1489898331920386,0.7467176861465676,106,-1.0,-1.0,0.8551121889742953,1.0,0.01776307912225235,insufficient,insufficient,insufficient,no_claim
0f727c1018c74fbb7142e8c7a77840d6,-0.1992482598583397,0.09358011208003873,0.033239939372963656,200,-1.0,-1.0,0.09567712278974673,1.0,0.07355182956921491,insufficient,insufficient,insufficient,no_claim
107c06248d28377b345ae06e5bda10c1,-0.7633456413502732,0.12517775948001264,1.07341180388687e-09,142,-1.0,-1.0,2.5404079358655924e-08,2.2004941979680837e-07,0.2817864936683327,strong,strong,strong,evidence_available
12e0a85ee9819ae1abeca0ccfaa52d13,-0.2741774532970636,0.20078884511129205,0.17209550681389763,52,-1.0,-1.0,0.3394105828829648,1.0,0.10121169103792768,insufficient,insufficient,insufficient,no_claim
12f90c19f2c2b74ec542b62e74e7cad1,-0.471409995736893,0.20275940611857277,0.02007344327287952,68,-1.0,-1.0,0.06381557338990057,1.0,0.1740194252552867,moderate,weak,insufficient,no_claim
13789d5f8a59f1e347e42b99233530d6,-0.3463981830465871,0.19563247905755438,0.07661761712211868,143,-1.0,-1.0,0.17361226007458808,1.0,0.1278717321829693,weak,insufficient,insufficient,no_claim
1618e7f7049efc1a0fbe48af6fda8e57,-0.06822506845046458,0.16066800282528798,0.6711036317820902,133,-1.0,-1.0,0.8166111136825052,1.0,0.025185056123372497,insufficient,insufficient,insufficient,no_claim
165970c3847523de7691ef9766b0f3f4,-0.7653182841548495,0.25576450429380815,0.0027690474328210257,32,-1.0,-1.0,0.012821893547627793,0.4651999687139323,0.28251468817033887,strong,moderate,insufficient,evidence_available
169d3212668c4eed434dafd32e33c946,0.07155005897516437,0.09283463221143157,0.44086939434116834,307,-1.0,-1.0,0.640846020882908,1.0,0.02641246526895725,insufficient,insufficient,insufficient,no_claim
1741432fb469dbbcd5a40599670c64ce,-0.03239853680219515,0.16028211439551873,0.839811617641339,147,-1.0,-1.0,0.9035517333254264,1.0,0.011959811638311047,insufficient,insufficient,insufficient,no_claim
17fb1517cc9d7e416782bffb8edd9070,-0.3614974460052007,0.19631919495631162,0.06556648326638159,124,-1.0,-1.0,0.16277317748677933,1.0,0.13344557466742712,weak,insufficient,insufficient,no_claim
1893420fc2b045e14ef0112c1b079afe,-0.37518485245957967,0.2076346380095573,0.07077049360109688,52,-1.0,-1.0,0.1641027844898432,1.0,0.13849823503943146,weak,insufficient,insufficient,no_claim
1c12f39481a6c09da17bd4e6bebed9a2,-0.3936312856419356,0.2483564170067022,0.11297880884974654,40,-1.0,-1.0,0.2480874874741857,1.0,0.1453076742312878,insufficient,insufficient,insufficient,no_claim
1d0fa4dfa0545bedeaa6045c70b6d19c,-0.25589950310110987,0.23758597136338985,0.2814437656156561,60,-1.0,-1.0,0.5037606897154181,1.0,0.09446444677771079,insufficient,insufficient,insufficient,no_claim
1d2263527eed2a54e88d340fb8e55308,-0.2008013335108296,0.10933168468441859,0.0662652360577154,368,-1.0,-1.0,0.16277317748677933,1.0,0.07412514152023317,insufficient,insufficient,insufficient,no_claim
1df93e607e693903c6fce6054a0a67c5,-0.4582685673177185,0.1523781352942584,0.002634554640831066,183,-1.0,-1.0,0.012696798247232221,0.4505088435821123,0.16916831085122427,moderate,moderate,insufficient,evidence_available
1ff6d7f34acb354430e7323a35ff7703,-0.2650929772075385,0.13620840329313094,0.05162703275289671,191,-1.0,-1.0,0.1341043655654512,1.0,0.09785818703474382,insufficient,insufficient,insufficient,no_claim
1fff60a0795f79ab1f9432d2cb1f56ee,-0.15541478712017776,0.18630559903422397,0.4041723543966349,101,-1.0,-1.0,0.6105582374927889,1.0,0.057370849526747716,insufficient,insufficient,insufficient,no_claim
20b8c420e5a7abcb07f11aab23e42923,-0.08763590174835084,0.1111169772973862,0.4302981968236135,174,-1.0,-1.0,0.6320932132650322,1.0,0.03235050039644987,insufficient,insufficient,insufficient,no_claim
